70,80
79,89
75,85
77,87
42,52
19,29
66,76
55,65
27,37
14,24
63,73
52,62
87,97
26,36
30,40
69,79
87,97
27,37
84,94
95,105
11,21
65,75
27,37
99,109
50,60
34,44
47,57
55,65
82,92
48,58
50,60
38,48
83,93
98,108
41,51
95,105
73,83
91,101
91,101
63,73
45,55
12,22
50,60
25,35
31,41
20,30
28,38
51,61
79,89
43,53
29,39
81,91
50,60
59,69
85,95
25,35
87,97
43,53
49,59
75,85
71,81
30,40
49,59
75,85
51,61
16,26
35,45
73,83
56,66
59,69
64,74
43,53
60,70
59,69
70,80
21,31
96,106
70,80
29,39
75,85
96,106
89,99
46,56
47,57
62,72
78,88
86,96
54,64
66,76
63,73
85,95
83,93
69,79
97,107
67,77
42,52
83,93
77,87
98,108
87,97

1674
1505
1259
106
652
282
4
57
49
70
