913,909
25,-44
800,870
186,209
998,1032
698,607
534,502
658,662
168,238
626,684
442,360
658,738
48,51
92,15
263,267
157,66
706,610
873,828
489,412
640,632
22,62
995,910
692,715
542,626
576,608
267,279
18,59
77,-6
683,664
252,316
638,612
326,308
157,65
775,776
395,305
418,446
730,802
656,600
881,831
48,-8
314,258
829,828
957,859
701,790
410,352
891,890
442,406
423,406
358,455
410,470
439,342
361,402
658,709
114,78
672,604
106,194
161,205
194,221
966,1018
847,825
960,965
381,447
444,528
284,293
394,424
603,622
73,38
317,310
776,841
438,485
347,357
552,453
677,689
349,286
148,216
806,728
368,299
314,314
444,349
833,867
610,550
936,1008
351,303
631,690
47,-40
964,989
806,821
922,903
804,773
156,187
708,690
474,442
407,462
839,807
462,415
518,570
432,402
51,-43
172,182
54,84
478,514
480,482
597,601
56,2
745,788
410,328
23,-24
930,1013
542,496
373,345
539,552
153,86
544,577
297,370
834,874
902,914
580,557
197,272
66,122
356,350
480,417
660,658
536,629
972,889
113,157
841,916
242,302
954,857
810,730
209,238
585,622
538,502
618,643
678,688
874,814
356,395
648,676
702,646
64,107
389,354
610,526
553,630
649,640
465,465
77,5
844,834
964,946
180,202
337,276
949,1022
739,691
178,90
483,446
677,663
205,304
940,879
625,660
144,218
676,673
978,988
433,426
631,539
561,615
949,855
442,498
381,371
867,774
330,318
865,768
372,466
203,215
229,132
203,275
884,814
947,970
629,601
270,328
422,389
362,309
986,906
916,899
961,1020
12,-39
726,691
573,484
811,846
907,834
607,640
257,229
137,174
522,430
615,517
829,841
423,470
90,144
119,135
728,666
669,676
709,621
584,602

12181
8550
8873
10115
